"Institution Name	"	"Native Name	"	"Location	"	"World Rank	"	National Rank	"Quality of Education Rank	"	"Alumni Employment Rank	"	"Quality of Faculty Rank	"	"Research Output Rank	"	"Quality Publications Rank	"	"Influence Rank	"	"Citations Rank	"	"Overall Score	"	Domain
Harvard University 	Harvard University 	USA	1	1	2	1	1	1	1	1	1	100	harvard.edu
Stanford University 	Stanford University 	USA	2	2	10	3	2	10	4	3	2	96.7	stanford.edu
Massachusetts Institute of Technology 	Massachusetts Institute of Technology 	USA	3	3	3	11	3	30	15	2	6	95.1	mit.edu
University of Cambridge 	University of Cambridge 	United Kingdom	4	1	5	19	6	12	8	6	19	94.0	cam.ac.uk
University of Oxford 	University of Oxford 	United Kingdom	5	2	9	25	10	9	5	7	4	93.2	ox.ac.uk
University of California, Berkeley 	University of California, Berkeley 	USA	6	4	7	52	5	18	12	4	8	92.5	berkeley.edu
Princeton University 	Princeton University 	USA	7	5	4	15	4	146	99	28	27	91.9	princeton.edu
Columbia University 	Columbia University 	USA	8	6	16	13	8	20	14	10	10	91.4	columbia.edu
California Institute of Technology 	California Institute of Technology 	USA	9	7	1	200	7	127	81	13	31	91.0	caltech.edu
University of Chicago 	University of Chicago 	USA	10	8	13	22	9	39	22	18	10	90.6	uchicago.edu
Yale University 	Yale University 	USA	11	9	11	34	12	37	19	11	31	90.3	yale.edu
University of Tokyo 	東京大学 	Japan	12	1	17	8	33	7	17	23	29	90.0	u-tokyo.ac.jp
University of Pennsylvania 	University of Pennsylvania 	USA	13	10	31	9	30	16	11	17	13	89.7	upenn.edu
Cornell University 	Cornell University 	USA	14	11	14	28	19	31	24	15	40	89.4	cornell.edu
University of California, Los Angeles 	University of California, Los Angeles 	USA	15	12	58	63	11	13	10	14	5	89.1	ucla.edu
Johns Hopkins University 	Johns Hopkins University 	USA	16	13	24	159	17	8	6	12	3	88.9	jhu.edu
University of Toronto 	University of Toronto 	Canada	17	1	86	157	23	2	2	16	7	88.7	utoronto.ca
University of Michigan, Ann Arbor 	University of Michigan, Ann Arbor 	USA	18	14	47	38	68	3	3	20	10	88.4	umich.edu
University of Washington - Seattle 	University of Washington - Seattle 	USA	19	15	75	220	26	11	9	9	9	88.2	washington.edu
University of California, San Diego 	University of California, San Diego 	USA	20	16	37	> 1000	16	28	16	5	16	88.0	ucsd.edu
University College London 	University College London 	United Kingdom	21	3	32	739	28	5	7	19	19	87.8	ucl.ac.uk
University of California, San Francisco 	University of California, San Francisco 	USA	22	17	 - 	> 1000	13	45	23	8	17	87.7	ucsf.edu
